"Notes"	"Standard Residence States"	"Standard Residence States Code"	"Mother's Bridged Race/Hispanic Origin"	"Mother's Bridged Race/Hispanic Origin Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Delivery Place"	"Delivery Place Code"	"Delivery Method"	"Delivery Method Code"	Fetal Deaths	Percent of Total Deaths
	"California"	"06"	"Non-Hispanic White"	"6"	"26 years"	"26"	"In Hospital"	"1"	"Cesarean"	"2"	62	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"26 years"	"26"	"In Hospital"	"1"	"Not Stated"	"9"	19	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"27 years"	"27"	"In Hospital"	"1"	"Vaginal"	"1"	376	0.10
	"California"	"06"	"Non-Hispanic White"	"6"	"27 years"	"27"	"In Hospital"	"1"	"Cesarean"	"2"	74	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"28 years"	"28"	"In Hospital"	"1"	"Vaginal"	"1"	427	0.12
	"California"	"06"	"Non-Hispanic White"	"6"	"28 years"	"28"	"In Hospital"	"1"	"Cesarean"	"2"	86	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"28 years"	"28"	"In Hospital"	"1"	"Not Stated"	"9"	35	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	392	0.11
	"California"	"06"	"Non-Hispanic White"	"6"	"29 years"	"29"	"In Hospital"	"1"	"Cesarean"	"2"	77	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"29 years"	"29"	"In Hospital"	"1"	"Not Stated"	"9"	15	0.00
	"California"	"06"	"Non-Hispanic White"	"6"	"30 years"	"30"	"In Hospital"	"1"	"Vaginal"	"1"	390	0.11
	"California"	"06"	"Non-Hispanic White"	"6"	"30 years"	"30"	"In Hospital"	"1"	"Cesarean"	"2"	73	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"30 years"	"30"	"In Hospital"	"1"	"Not Stated"	"9"	26	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"31 years"	"31"	"In Hospital"	"1"	"Vaginal"	"1"	394	0.11
	"California"	"06"	"Non-Hispanic White"	"6"	"31 years"	"31"	"In Hospital"	"1"	"Cesarean"	"2"	80	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"31 years"	"31"	"In Hospital"	"1"	"Not Stated"	"9"	26	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"32 years"	"32"	"In Hospital"	"1"	"Vaginal"	"1"	376	0.10
	"California"	"06"	"Non-Hispanic White"	"6"	"32 years"	"32"	"In Hospital"	"1"	"Cesarean"	"2"	72	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"32 years"	"32"	"In Hospital"	"1"	"Not Stated"	"9"	23	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"33 years"	"33"	"In Hospital"	"1"	"Vaginal"	"1"	382	0.10
	"California"	"06"	"Non-Hispanic White"	"6"	"33 years"	"33"	"In Hospital"	"1"	"Cesarean"	"2"	70	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"33 years"	"33"	"In Hospital"	"1"	"Not Stated"	"9"	25	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"34 years"	"34"	"In Hospital"	"1"	"Vaginal"	"1"	342	0.09
	"California"	"06"	"Non-Hispanic White"	"6"	"34 years"	"34"	"In Hospital"	"1"	"Cesarean"	"2"	83	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"34 years"	"34"	"In Hospital"	"1"	"Not Stated"	"9"	29	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"35 years"	"35"	"In Hospital"	"1"	"Vaginal"	"1"	309	0.08
	"California"	"06"	"Non-Hispanic White"	"6"	"35 years"	"35"	"In Hospital"	"1"	"Cesarean"	"2"	74	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"35 years"	"35"	"In Hospital"	"1"	"Not Stated"	"9"	25	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"36 years"	"36"	"In Hospital"	"1"	"Vaginal"	"1"	296	0.08
	"California"	"06"	"Non-Hispanic White"	"6"	"36 years"	"36"	"In Hospital"	"1"	"Cesarean"	"2"	80	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"36 years"	"36"	"In Hospital"	"1"	"Not Stated"	"9"	25	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"37 years"	"37"	"In Hospital"	"1"	"Vaginal"	"1"	284	0.08
	"California"	"06"	"Non-Hispanic White"	"6"	"37 years"	"37"	"In Hospital"	"1"	"Cesarean"	"2"	56	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"37 years"	"37"	"In Hospital"	"1"	"Not Stated"	"9"	19	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"38 years"	"38"	"In Hospital"	"1"	"Vaginal"	"1"	246	0.07
	"California"	"06"	"Non-Hispanic White"	"6"	"38 years"	"38"	"In Hospital"	"1"	"Cesarean"	"2"	53	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"38 years"	"38"	"In Hospital"	"1"	"Not Stated"	"9"	20	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"39 years"	"39"	"In Hospital"	"1"	"Vaginal"	"1"	172	0.05
	"California"	"06"	"Non-Hispanic White"	"6"	"39 years"	"39"	"In Hospital"	"1"	"Cesarean"	"2"	42	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"39 years"	"39"	"In Hospital"	"1"	"Not Stated"	"9"	10	0.00
	"California"	"06"	"Non-Hispanic White"	"6"	"40 years"	"40"	"In Hospital"	"1"	"Vaginal"	"1"	164	0.05
	"California"	"06"	"Non-Hispanic White"	"6"	"40 years"	"40"	"In Hospital"	"1"	"Cesarean"	"2"	36	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"41 years"	"41"	"In Hospital"	"1"	"Vaginal"	"1"	115	0.03
	"California"	"06"	"Non-Hispanic White"	"6"	"41 years"	"41"	"In Hospital"	"1"	"Cesarean"	"2"	30	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"42 years"	"42"	"In Hospital"	"1"	"Vaginal"	"1"	70	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"42 years"	"42"	"In Hospital"	"1"	"Cesarean"	"2"	16	0.00
	"California"	"06"	"Non-Hispanic White"	"6"	"43 years"	"43"	"In Hospital"	"1"	"Vaginal"	"1"	60	0.02
	"California"	"06"	"Non-Hispanic White"	"6"	"43 years"	"43"	"In Hospital"	"1"	"Cesarean"	"2"	20	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"44 years"	"44"	"In Hospital"	"1"	"Vaginal"	"1"	32	0.01
	"California"	"06"	"Non-Hispanic White"	"6"	"44 years"	"44"	"In Hospital"	"1"	"Cesarean"	"2"	10	0.00
	"California"	"06"	"Non-Hispanic White"	"6"	"45 years"	"45"	"In Hospital"	"1"	"Vaginal"	"1"	14	0.00
	"California"	"06"	"Non-Hispanic White"	"6"	"45 years"	"45"	"In Hospital"	"1"	"Cesarean"	"2"	10	0.00
	"California"	"06"	"Non-Hispanic White"	"6"	"46 years"	"46"	"In Hospital"	"1"	"Vaginal"	"1"	20	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"15 years"	"15"	"In Hospital"	"1"	"Vaginal"	"1"	18	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"16 years"	"16"	"In Hospital"	"1"	"Vaginal"	"1"	24	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"17 years"	"17"	"In Hospital"	"1"	"Vaginal"	"1"	46	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"18 years"	"18"	"In Hospital"	"1"	"Vaginal"	"1"	119	0.03
	"California"	"06"	"Non-Hispanic Black"	"7"	"19 years"	"19"	"In Hospital"	"1"	"Vaginal"	"1"	169	0.05
	"California"	"06"	"Non-Hispanic Black"	"7"	"19 years"	"19"	"In Hospital"	"1"	"Cesarean"	"2"	19	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"19 years"	"19"	"In Hospital"	"1"	"Not Stated"	"9"	14	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"20 years"	"20"	"In Hospital"	"1"	"Vaginal"	"1"	186	0.05
	"California"	"06"	"Non-Hispanic Black"	"7"	"20 years"	"20"	"In Hospital"	"1"	"Cesarean"	"2"	22	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"20 years"	"20"	"In Hospital"	"1"	"Not Stated"	"9"	12	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"21 years"	"21"	"In Hospital"	"1"	"Vaginal"	"1"	182	0.05
	"California"	"06"	"Non-Hispanic Black"	"7"	"21 years"	"21"	"In Hospital"	"1"	"Cesarean"	"2"	21	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"22 years"	"22"	"In Hospital"	"1"	"Vaginal"	"1"	189	0.05
	"California"	"06"	"Non-Hispanic Black"	"7"	"22 years"	"22"	"In Hospital"	"1"	"Cesarean"	"2"	24	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"22 years"	"22"	"In Hospital"	"1"	"Not Stated"	"9"	25	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"23 years"	"23"	"In Hospital"	"1"	"Vaginal"	"1"	166	0.05
	"California"	"06"	"Non-Hispanic Black"	"7"	"23 years"	"23"	"In Hospital"	"1"	"Cesarean"	"2"	23	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"23 years"	"23"	"In Hospital"	"1"	"Not Stated"	"9"	14	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"24 years"	"24"	"In Hospital"	"1"	"Vaginal"	"1"	162	0.04
	"California"	"06"	"Non-Hispanic Black"	"7"	"24 years"	"24"	"In Hospital"	"1"	"Cesarean"	"2"	33	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"24 years"	"24"	"In Hospital"	"1"	"Not Stated"	"9"	12	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"25 years"	"25"	"In Hospital"	"1"	"Vaginal"	"1"	182	0.05
	"California"	"06"	"Non-Hispanic Black"	"7"	"25 years"	"25"	"In Hospital"	"1"	"Cesarean"	"2"	19	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"25 years"	"25"	"In Hospital"	"1"	"Not Stated"	"9"	19	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"26 years"	"26"	"In Hospital"	"1"	"Vaginal"	"1"	200	0.05
	"California"	"06"	"Non-Hispanic Black"	"7"	"26 years"	"26"	"In Hospital"	"1"	"Cesarean"	"2"	25	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"26 years"	"26"	"In Hospital"	"1"	"Not Stated"	"9"	23	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"27 years"	"27"	"In Hospital"	"1"	"Vaginal"	"1"	147	0.04
	"California"	"06"	"Non-Hispanic Black"	"7"	"27 years"	"27"	"In Hospital"	"1"	"Cesarean"	"2"	32	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"27 years"	"27"	"In Hospital"	"1"	"Not Stated"	"9"	15	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"28 years"	"28"	"In Hospital"	"1"	"Vaginal"	"1"	181	0.05
	"California"	"06"	"Non-Hispanic Black"	"7"	"28 years"	"28"	"In Hospital"	"1"	"Cesarean"	"2"	28	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"28 years"	"28"	"In Hospital"	"1"	"Not Stated"	"9"	14	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	181	0.05
	"California"	"06"	"Non-Hispanic Black"	"7"	"29 years"	"29"	"In Hospital"	"1"	"Cesarean"	"2"	28	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"29 years"	"29"	"In Hospital"	"1"	"Not Stated"	"9"	17	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"30 years"	"30"	"In Hospital"	"1"	"Vaginal"	"1"	138	0.04
	"California"	"06"	"Non-Hispanic Black"	"7"	"30 years"	"30"	"In Hospital"	"1"	"Cesarean"	"2"	23	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"30 years"	"30"	"In Hospital"	"1"	"Not Stated"	"9"	16	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"31 years"	"31"	"In Hospital"	"1"	"Vaginal"	"1"	153	0.04
	"California"	"06"	"Non-Hispanic Black"	"7"	"31 years"	"31"	"In Hospital"	"1"	"Cesarean"	"2"	26	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"31 years"	"31"	"In Hospital"	"1"	"Not Stated"	"9"	14	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"32 years"	"32"	"In Hospital"	"1"	"Vaginal"	"1"	152	0.04
	"California"	"06"	"Non-Hispanic Black"	"7"	"32 years"	"32"	"In Hospital"	"1"	"Cesarean"	"2"	28	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"32 years"	"32"	"In Hospital"	"1"	"Not Stated"	"9"	20	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"33 years"	"33"	"In Hospital"	"1"	"Vaginal"	"1"	158	0.04
	"California"	"06"	"Non-Hispanic Black"	"7"	"33 years"	"33"	"In Hospital"	"1"	"Cesarean"	"2"	30	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"34 years"	"34"	"In Hospital"	"1"	"Vaginal"	"1"	102	0.03
	"California"	"06"	"Non-Hispanic Black"	"7"	"34 years"	"34"	"In Hospital"	"1"	"Cesarean"	"2"	26	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"35 years"	"35"	"In Hospital"	"1"	"Vaginal"	"1"	89	0.02
	"California"	"06"	"Non-Hispanic Black"	"7"	"35 years"	"35"	"In Hospital"	"1"	"Cesarean"	"2"	21	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"36 years"	"36"	"In Hospital"	"1"	"Vaginal"	"1"	90	0.02
	"California"	"06"	"Non-Hispanic Black"	"7"	"36 years"	"36"	"In Hospital"	"1"	"Cesarean"	"2"	21	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"37 years"	"37"	"In Hospital"	"1"	"Vaginal"	"1"	84	0.02
	"California"	"06"	"Non-Hispanic Black"	"7"	"37 years"	"37"	"In Hospital"	"1"	"Cesarean"	"2"	19	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"38 years"	"38"	"In Hospital"	"1"	"Vaginal"	"1"	62	0.02
	"California"	"06"	"Non-Hispanic Black"	"7"	"39 years"	"39"	"In Hospital"	"1"	"Vaginal"	"1"	66	0.02
	"California"	"06"	"Non-Hispanic Black"	"7"	"39 years"	"39"	"In Hospital"	"1"	"Cesarean"	"2"	27	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"40 years"	"40"	"In Hospital"	"1"	"Vaginal"	"1"	47	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"40 years"	"40"	"In Hospital"	"1"	"Cesarean"	"2"	10	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"41 years"	"41"	"In Hospital"	"1"	"Vaginal"	"1"	26	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"41 years"	"41"	"In Hospital"	"1"	"Cesarean"	"2"	13	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"42 years"	"42"	"In Hospital"	"1"	"Vaginal"	"1"	24	0.01
	"California"	"06"	"Non-Hispanic Black"	"7"	"42 years"	"42"	"In Hospital"	"1"	"Cesarean"	"2"	14	0.00
	"California"	"06"	"Non-Hispanic Black"	"7"	"43 years"	"43"	"In Hospital"	"1"	"Vaginal"	"1"	17	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"16 years"	"16"	"In Hospital"	"1"	"Vaginal"	"1"	11	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"17 years"	"17"	"In Hospital"	"1"	"Vaginal"	"1"	16	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"18 years"	"18"	"In Hospital"	"1"	"Vaginal"	"1"	34	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"19 years"	"19"	"In Hospital"	"1"	"Vaginal"	"1"	37	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"20 years"	"20"	"In Hospital"	"1"	"Vaginal"	"1"	54	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"21 years"	"21"	"In Hospital"	"1"	"Vaginal"	"1"	65	0.02
	"California"	"06"	"Non-Hispanic other races"	"8"	"22 years"	"22"	"In Hospital"	"1"	"Vaginal"	"1"	80	0.02
	"California"	"06"	"Non-Hispanic other races"	"8"	"23 years"	"23"	"In Hospital"	"1"	"Vaginal"	"1"	65	0.02
	"California"	"06"	"Non-Hispanic other races"	"8"	"23 years"	"23"	"In Hospital"	"1"	"Cesarean"	"2"	11	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"24 years"	"24"	"In Hospital"	"1"	"Vaginal"	"1"	96	0.03
	"California"	"06"	"Non-Hispanic other races"	"8"	"24 years"	"24"	"In Hospital"	"1"	"Cesarean"	"2"	16	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"25 years"	"25"	"In Hospital"	"1"	"Vaginal"	"1"	100	0.03
	"California"	"06"	"Non-Hispanic other races"	"8"	"25 years"	"25"	"In Hospital"	"1"	"Cesarean"	"2"	19	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"26 years"	"26"	"In Hospital"	"1"	"Vaginal"	"1"	135	0.04
	"California"	"06"	"Non-Hispanic other races"	"8"	"26 years"	"26"	"In Hospital"	"1"	"Cesarean"	"2"	23	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"27 years"	"27"	"In Hospital"	"1"	"Vaginal"	"1"	156	0.04
	"California"	"06"	"Non-Hispanic other races"	"8"	"27 years"	"27"	"In Hospital"	"1"	"Cesarean"	"2"	22	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"28 years"	"28"	"In Hospital"	"1"	"Vaginal"	"1"	186	0.05
	"California"	"06"	"Non-Hispanic other races"	"8"	"28 years"	"28"	"In Hospital"	"1"	"Cesarean"	"2"	36	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	200	0.05
	"California"	"06"	"Non-Hispanic other races"	"8"	"29 years"	"29"	"In Hospital"	"1"	"Cesarean"	"2"	23	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"29 years"	"29"	"In Hospital"	"1"	"Not Stated"	"9"	12	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"30 years"	"30"	"In Hospital"	"1"	"Vaginal"	"1"	231	0.06
	"California"	"06"	"Non-Hispanic other races"	"8"	"30 years"	"30"	"In Hospital"	"1"	"Cesarean"	"2"	32	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"31 years"	"31"	"In Hospital"	"1"	"Vaginal"	"1"	207	0.06
	"California"	"06"	"Non-Hispanic other races"	"8"	"31 years"	"31"	"In Hospital"	"1"	"Cesarean"	"2"	36	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"31 years"	"31"	"In Hospital"	"1"	"Not Stated"	"9"	16	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"32 years"	"32"	"In Hospital"	"1"	"Vaginal"	"1"	240	0.07
	"California"	"06"	"Non-Hispanic other races"	"8"	"32 years"	"32"	"In Hospital"	"1"	"Cesarean"	"2"	35	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"33 years"	"33"	"In Hospital"	"1"	"Vaginal"	"1"	213	0.06
	"California"	"06"	"Non-Hispanic other races"	"8"	"33 years"	"33"	"In Hospital"	"1"	"Cesarean"	"2"	33	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"34 years"	"34"	"In Hospital"	"1"	"Vaginal"	"1"	224	0.06
	"California"	"06"	"Non-Hispanic other races"	"8"	"34 years"	"34"	"In Hospital"	"1"	"Cesarean"	"2"	38	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"34 years"	"34"	"In Hospital"	"1"	"Not Stated"	"9"	12	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"35 years"	"35"	"In Hospital"	"1"	"Vaginal"	"1"	210	0.06
	"California"	"06"	"Non-Hispanic other races"	"8"	"35 years"	"35"	"In Hospital"	"1"	"Cesarean"	"2"	46	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"36 years"	"36"	"In Hospital"	"1"	"Vaginal"	"1"	177	0.05
	"California"	"06"	"Non-Hispanic other races"	"8"	"36 years"	"36"	"In Hospital"	"1"	"Cesarean"	"2"	34	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"36 years"	"36"	"In Hospital"	"1"	"Not Stated"	"9"	23	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"37 years"	"37"	"In Hospital"	"1"	"Vaginal"	"1"	155	0.04
	"California"	"06"	"Non-Hispanic other races"	"8"	"37 years"	"37"	"In Hospital"	"1"	"Cesarean"	"2"	37	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"38 years"	"38"	"In Hospital"	"1"	"Vaginal"	"1"	136	0.04
	"California"	"06"	"Non-Hispanic other races"	"8"	"38 years"	"38"	"In Hospital"	"1"	"Cesarean"	"2"	30	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"39 years"	"39"	"In Hospital"	"1"	"Vaginal"	"1"	117	0.03
	"California"	"06"	"Non-Hispanic other races"	"8"	"39 years"	"39"	"In Hospital"	"1"	"Cesarean"	"2"	37	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"40 years"	"40"	"In Hospital"	"1"	"Vaginal"	"1"	92	0.03
	"California"	"06"	"Non-Hispanic other races"	"8"	"40 years"	"40"	"In Hospital"	"1"	"Cesarean"	"2"	12	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"40 years"	"40"	"In Hospital"	"1"	"Not Stated"	"9"	11	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"41 years"	"41"	"In Hospital"	"1"	"Vaginal"	"1"	71	0.02
	"California"	"06"	"Non-Hispanic other races"	"8"	"41 years"	"41"	"In Hospital"	"1"	"Cesarean"	"2"	11	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"42 years"	"42"	"In Hospital"	"1"	"Vaginal"	"1"	54	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"42 years"	"42"	"In Hospital"	"1"	"Cesarean"	"2"	12	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"43 years"	"43"	"In Hospital"	"1"	"Vaginal"	"1"	25	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"44 years"	"44"	"In Hospital"	"1"	"Vaginal"	"1"	28	0.01
	"California"	"06"	"Non-Hispanic other races"	"8"	"45 years"	"45"	"In Hospital"	"1"	"Vaginal"	"1"	17	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"46 years"	"46"	"In Hospital"	"1"	"Vaginal"	"1"	11	0.00
	"California"	"06"	"Non-Hispanic other races"	"8"	"47 years"	"47"	"In Hospital"	"1"	"Vaginal"	"1"	12	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"18 years"	"18"	"In Hospital"	"1"	"Vaginal"	"1"	10	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"19 years"	"19"	"In Hospital"	"1"	"Vaginal"	"1"	17	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"21 years"	"21"	"In Hospital"	"1"	"Vaginal"	"1"	18	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"22 years"	"22"	"In Hospital"	"1"	"Vaginal"	"1"	16	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"23 years"	"23"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"24 years"	"24"	"In Hospital"	"1"	"Vaginal"	"1"	17	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"25 years"	"25"	"In Hospital"	"1"	"Vaginal"	"1"	19	0.01
	"California"	"06"	"Origin unknown or not stated"	"9"	"26 years"	"26"	"In Hospital"	"1"	"Vaginal"	"1"	28	0.01
	"California"	"06"	"Origin unknown or not stated"	"9"	"27 years"	"27"	"In Hospital"	"1"	"Vaginal"	"1"	13	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"28 years"	"28"	"In Hospital"	"1"	"Vaginal"	"1"	76	0.02
	"California"	"06"	"Origin unknown or not stated"	"9"	"28 years"	"28"	"In Hospital"	"1"	"Cesarean"	"2"	12	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"28 years"	"28"	"In Hospital"	"1"	"Not Stated"	"9"	29	0.01
	"California"	"06"	"Origin unknown or not stated"	"9"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	19	0.01
	"California"	"06"	"Origin unknown or not stated"	"9"	"30 years"	"30"	"In Hospital"	"1"	"Vaginal"	"1"	23	0.01
	"California"	"06"	"Origin unknown or not stated"	"9"	"31 years"	"31"	"In Hospital"	"1"	"Vaginal"	"1"	28	0.01
	"California"	"06"	"Origin unknown or not stated"	"9"	"32 years"	"32"	"In Hospital"	"1"	"Vaginal"	"1"	19	0.01
	"California"	"06"	"Origin unknown or not stated"	"9"	"33 years"	"33"	"In Hospital"	"1"	"Vaginal"	"1"	15	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"34 years"	"34"	"In Hospital"	"1"	"Vaginal"	"1"	19	0.01
	"California"	"06"	"Origin unknown or not stated"	"9"	"35 years"	"35"	"In Hospital"	"1"	"Vaginal"	"1"	14	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"36 years"	"36"	"In Hospital"	"1"	"Vaginal"	"1"	20	0.01
	"California"	"06"	"Origin unknown or not stated"	"9"	"37 years"	"37"	"In Hospital"	"1"	"Vaginal"	"1"	22	0.01
	"California"	"06"	"Origin unknown or not stated"	"9"	"38 years"	"38"	"In Hospital"	"1"	"Vaginal"	"1"	17	0.00
	"California"	"06"	"Origin unknown or not stated"	"9"	"40 years"	"40"	"In Hospital"	"1"	"Vaginal"	"1"	10	0.00
	"California"	"06"	"Not Available"	"10"	"17 years"	"17"	"In Hospital"	"1"	"Vaginal"	"1"	12	0.00
	"California"	"06"	"Not Available"	"10"	"18 years"	"18"	"In Hospital"	"1"	"Vaginal"	"1"	21	0.01
	"California"	"06"	"Not Available"	"10"	"19 years"	"19"	"In Hospital"	"1"	"Vaginal"	"1"	27	0.01
	"California"	"06"	"Not Available"	"10"	"20 years"	"20"	"In Hospital"	"1"	"Vaginal"	"1"	49	0.01
	"California"	"06"	"Not Available"	"10"	"21 years"	"21"	"In Hospital"	"1"	"Vaginal"	"1"	39	0.01
	"California"	"06"	"Not Available"	"10"	"22 years"	"22"	"In Hospital"	"1"	"Vaginal"	"1"	45	0.01
	"California"	"06"	"Not Available"	"10"	"23 years"	"23"	"In Hospital"	"1"	"Vaginal"	"1"	53	0.01
	"California"	"06"	"Not Available"	"10"	"23 years"	"23"	"In Hospital"	"1"	"Not Stated"	"9"	12	0.00
	"California"	"06"	"Not Available"	"10"	"24 years"	"24"	"In Hospital"	"1"	"Vaginal"	"1"	58	0.02
	"California"	"06"	"Not Available"	"10"	"24 years"	"24"	"In Hospital"	"1"	"Cesarean"	"2"	11	0.00
	"California"	"06"	"Not Available"	"10"	"25 years"	"25"	"In Hospital"	"1"	"Vaginal"	"1"	65	0.02
	"California"	"06"	"Not Available"	"10"	"26 years"	"26"	"In Hospital"	"1"	"Vaginal"	"1"	74	0.02
	"California"	"06"	"Not Available"	"10"	"26 years"	"26"	"In Hospital"	"1"	"Cesarean"	"2"	12	0.00
